strain	date	data_source	genbank_accession	sra_accessions
A/cattle/SD/24-021716-001-original/2024	2024-07-29	genbank	PQ423562	SRR30235376
A/cattle/SD/24-021716-002-original/2024	2024-07-29	genbank	PQ423570	SRR30235374
A/cattle/SD/24-021716-003-original/2024	2024-07-29	genbank	PQ423578	SRR30235352
A/cattle/SD/24-021716-005-original/2024	2024-07-29	genbank	PQ423586	SRR30235353
A/cattle/CO/24-022172-001-original/2024	2024-07-29	genbank	PQ468530	SRR30235372
A/cattle/CO/24-022173-001-original/2024	2024-07-28	genbank	PQ468538	SRR30235355
A/cattle/CO/24-022859-001-original/2024	2024-08-04	genbank	PQ468546	SRR30490906
A/cattle/CO/24-022860-001-original/2024	2024-08-05	genbank	PQ468554	SRR30490905
A/cattle/ID/24-017916-001-original/2024	2024-06-13	genbank	PQ468562	SRR29694587
A/cattle/ID/24-017916-002-original/2024	2024-06-13	genbank	PQ468570	SRR29694586
A/cattle/ID/24-018782-001-original/2024	2024-06-25	genbank	PQ468578	SRR29740717
A/cattle/ID/24-019883-001-original/2024	2024-07-08	genbank	PQ468586	SRR29953234
A/cattle/ID/24-019883-002-original/2024	2024-07-08	genbank	PQ468594	SRR29953233
A/cattle/ID/24-022349-001-original/2024	2024-08-01	genbank	PQ468602	SRR30404406
A/cattle/ID/24-022349-002-original/2024	2024-08-01	genbank	PQ468610	SRR30404405
A/cattle/ID/24-024698-002-original/2024	2024-08-21	genbank	PQ468618	SRR30633346
A/cattle/MN/24-019167-001-original/2024	2024-06-26	genbank	PQ468626	SRR29851699
A/cattle/CA/24-025746-001-original/2024	2024-09-04	genbank	PQ482081	SRR30811319
A/cattle/CA/24-025746-002-original/2024	2024-09-04	genbank	PQ482089	SRR30811318
A/cattle/CA/24-025746-004-original/2024	2024-09-04	genbank	PQ482097	SRR30811317
A/cattle/CO/24-020510-001-original/2024	2024-07-15	genbank	PQ482105	SRR30090390
A/cattle/CO/24-020510-002-original/2024	2024-07-15	genbank	PQ482113	SRR30090389
A/cattle/CO/24-020510-003-original/2024	2024-07-15	genbank	PQ482121	SRR30090388
A/cattle/CO/24-022165-001-original/2024	2024-07-28	genbank	PQ482129	SRR30235360
A/cattle/CO/24-024946-001-original/2024	2024-08-26	genbank	PQ482137	SRR30811250
A/cattle/CO/24-024947-001-original/2024	2024-08-26	genbank	PQ482145	SRR30811247
A/cattle/CO/24-024948-001-original/2024	2024-08-25	genbank	PQ482153	SRR30811326
A/cattle/CO/24-025575-001-original/2024	2024-09-02	genbank	PQ482161	SRR30811321
A/cattle/MI/24-013172-002-original/2024	2024-04-30	genbank	PQ482169	SRR29040288
A/cattle/MI/24-013999-001-original/2024	2024-05-08	genbank	PQ482177	
A/cattle/MI/24-013999-003-original/2024	2024-05-08	genbank	PQ482185	
A/cattle/MI/24-013999-005-original/2024	2024-05-08	genbank	PQ482193	
A/cattle/MI/24-013999-006-original/2024	2024-05-08	genbank	PQ482201	
A/cattle/MI/24-013999-007-original/2024	2024-05-08	genbank	PQ482209	
A/cattle/MI/24-016804-001-original/2024	2024-06-04	genbank	PQ482217	SRR29543297
A/cattle/CO/24-017048-001-original/2024	2024-06-10	genbank	PQ528952	SRR29543296
A/cattle/CO/24-017048-003-original/2024	2024-06-10	genbank	PQ528960	SRR29543295
A/cattle/CO/24-017048-005-original/2024	2024-06-10	genbank	PQ528968	SRR29543294
A/cattle/CO/24-017048-007-original/2024	2024-06-10	genbank	PQ528976	SRR29543394
A/cattle/CO/24-017048-009-original/2024	2024-06-10	genbank	PQ528984	SRR29543393
A/cattle/CO/24-017048-011-original/2024	2024-06-10	genbank	PQ528992	SRR29543380
A/cattle/CO/24-020176-001-original/2024	2024-07-11	genbank	PQ529000	SRR30090364
A/cattle/CO/24-020176-003-original/2024	2024-07-11	genbank	PQ529008	SRR29953204
A/cattle/CO/24-020176-005-original/2024	2024-07-11	genbank	PQ529016	SRR29953203
A/cattle/CO/24-020176-006-original/2024	2024-07-11	genbank	PQ529024	SRR30090353
A/cattle/CO/24-022861-001-original/2024	2024-08-05	genbank	PQ529032	SRR30490904
A/cattle/CO/24-023564-001-original-repeat2/2024	2024-08-12	genbank	PQ529040	SRR30811294
A/cattle/CO/24-023569-001-original-repeat2/2024	2024-08-12	genbank	PQ529048	SRR30811283
A/cattle/CO/24-024240-001-original/2024	2024-08-19	genbank	PQ529056	SRR30633347
A/cattle/CO/24-024945-001-original/2024	2024-08-25	genbank	PQ529064	SRR30811261
A/cattle/CO/24-025573-001-original/2024	2024-09-01	genbank	PQ529072	SRR30811322
A/cattle/CO/24-025576-001-original/2024	2024-09-01	genbank	PQ529080	SRR30811320
A/cattle/CO/24-026550-001-original/2024	2024-09-09	genbank	PQ529088	SRR30811276
A/cattle/CO/24-026553-001-original/2024	2024-09-09	genbank	PQ529096	SRR30811275
A/cattle/MI/24-015307-001-original/2024	2024-05-22	genbank	PQ529104	SRR29377898
A/cattle/MI/24-015307-002-original/2024	2024-05-22	genbank	PQ529112	SRR29377897
A/cattle/MI/24-015307-003-original/2024	2024-05-22	genbank	PQ529120	SRR29377896
A/cattle/MI/24-015307-004-original/2024	2024-05-22	genbank	PQ529128	SRR29377895
A/cattle/CA/24-024712-001-original/2024	2024-08-26	genbank	PQ569477	SRR30572427
A/cattle/CA/24-024712-003-original/2024	2024-08-26	genbank	PQ569485	SRR30572425
A/cattle/CA/24-025748-001-original/2024	2024-09-02	genbank	PQ569493	SRR30811307
A/cattle/CA/24-025748-002-original/2024	2024-09-02	genbank	PQ569501	SRR30811306
A/cattle/CA/24-025748-003-original/2024	2024-09-02	genbank	PQ569509	SRR30811304
A/cattle/CA/24-025749-001-original/2024	2024-09-02	genbank	PQ569517	SRR30811303
A/cattle/CA/24-026566-001-original/2024	2024-09-10	genbank	PQ569525	SRR30811264
A/cattle/CO/24-024238-001-original-repeat2/2024	2024-08-20	genbank	PQ569533	SRR30932424
A/cattle/ID/24-026980-001-original/2024	2024-09-10	genbank	PQ569541	SRR30932423
A/cattle/ID/24-028090-001-original/2024	2024-09-23	genbank	PQ589766	SRR30932731
A/cattle/OK/24-019481-001-original/2024	2024-04-20	genbank	PQ589774	SRR29851689
A/cattle/OK/24-019481-002-original/2024	2024-04-20	genbank	PQ589782	SRR29851688
A/cattle/OK/24-019634-001-original/2024	2024-07-03	genbank	PQ589790	SRR29851687
A/cattle/OK/24-019634-002-original/2024	2024-07-03	genbank	PQ589798	SRR29851686
A/cattle/Missouri/Broad_MD_031/2024	2024-06-11	genbank	PQ635370	
A/cattle/Texas/Broad_MD_027/2024	2024-06-09	genbank	PQ645024	SRR30789567, SRR30789611, SRR30789621, SRR30789631, SRR30789644, SRR31486246, SRR31486241
A/cattle/Colorado/Broad_MF_016/2024	2024-07-02	genbank	PQ645032	SRR30789570, SRR30789576, SRR30789583, SRR30789589, SRR31486237, SRR31486242
A/cattle/CA/24-027490-001-original-repeat2/2024	2024-09-17	genbank	PQ663873	SRR31016533
A/cattle/CA/24-027502-001-original-repeat2/2024	2024-09-17	genbank	PQ663881	SRR31016522
A/cattle/CA/24-028243-001-original-repeat2/2024	2024-09-23	genbank	PQ663889	SRR31062753
A/cattle/CA/24-028243-002-original/2024	2024-09-23	genbank	PQ663897	SRR30932730
A/cattle/CA/24-028243-004-original/2024	2024-09-23	genbank	PQ663905	SRR30932729
A/cattle/CA/24-028771-001-original/2024	2024-09-30	genbank	PQ663913	SRR31016528
A/cattle/CA/24-028988-001-original/2024	2024-09-30	genbank	PQ663921	SRR31168548
A/cattle/CA/24-029616-001-original/2024	2024-10-07	genbank	PQ663929	SRR31168543
A/cattle/CA/24-029616-002-original/2024	2024-10-07	genbank	PQ663937	SRR31168542
A/cattle/IA/24-018721-001-original/2024	2024-06-25	genbank	PQ663945	SRR29740682
A/cattle/IA/24-019480-001-original/2024	2024-07-02	genbank	PQ663953	SRR29953271
A/cattle/IA/24-019480-002-original/2024	2024-07-02	genbank	PQ663961	SRR29953270
A/cattle/IA/24-019981-001-original/2024	2024-07-09	genbank	PQ663969	SRR29953215
A/cattle/IA/24-020593-001-original/2024	2024-07-16	genbank	PQ663977	SRR30090387
A/cattle/IA/24-023669-001-original/2024	2024-08-13	genbank	PQ663985	SRR30932425
A/cattle/ID/24-028356-001-original/2024	2024-09-26	genbank	PQ663993	SRR31016521
A/cattle/ID/24-028356-002-original/2024	2024-09-26	genbank	PQ664001	SRR31016587
A/cattle/ID/24-028356-003-original/2024	2024-09-26	genbank	PQ664009	SRR31016586
A/cattle/ID/24-030584-001-original/2024	2024-10-16	genbank	PQ664017	SRR31168532
A/cattle/MI/24-024344-001-original/2024	2024-08-19	genbank	PQ664025	SRR30572434
A/cattle/MI/24-024344-003-original/2024	2024-08-19	genbank	PQ664033	SRR30572433
A/cattle/MI/24-025091-001-original/2024	2024-08-14	genbank	PQ664041	SRR30811324
A/cattle/MI/24-025091-002-original/2024	2024-08-14	genbank	PQ664049	SRR30811323
A/cattle/NM/24-023930-001-original/2024	2024-04-22	genbank	PQ664057	SRR30572436
A/cattle/NM/24-023930-002-original/2024	2024-04-22	genbank	PQ664065	SRR30572435
A/cattle/NM/24-023930-003-original/2024	2024-04-22	genbank	PQ664073	SRR30572424
A/cattle/NM/24-023930-004-original/2024	2024-04-22	genbank	PQ664081	SRR30572422
A/cattle/NM/24-023930-005-original/2024	2024-04-22	genbank	PQ664089	SRR30572421
A/cattle/NM/24-023930-006-original/2024	2024-04-22	genbank	PQ664097	SRR30572420
A/cattle/NM/24-023930-007-original/2024	2024-04-22	genbank	PQ664105	SRR30572419
A/cattle/NM/24-023930-010-original/2024	2024-04-22	genbank	PQ664113	SRR30572418
A/cattle/NM/24-023930-011-original/2024	2024-04-22	genbank	PQ664121	SRR30572417
A/cattle/NM/24-023930-012-original/2024	2024-04-22	genbank	PQ664129	SRR30572416
A/cattle/NM/24-028969-006-original/2024	2024-04-22	genbank	PQ664137	SRR31168550
A/cattle/NM/24-028969-013-original/2024	2024-04-22	genbank	PQ664145	SRR31168549
A/cattle/NM/24-028969-016-original/2024	2024-04-22	genbank	PQ664153	SRR31168538
A/cattle/TX/24-017473-001-original/2024	2024-05-27	genbank	PQ664161	SRR29694569
A/cattle/TX/24-017473-002-original/2024	2024-05-27	genbank	PQ664169	SRR29694568
A/cattle/TX/24-017473-003-original/2024	2024-05-27	genbank	PQ664177	SRR29694567
A/cattle/TX/24-017473-005-original/2024	2024-05-27	genbank	PQ664185	SRR29694566
A/cattle/TX/24-021589-001-original/2024	2024-07-23	genbank	PQ664193	SRR30235363
A/cattle/TX/24-021589-002-original/2024	2024-07-23	genbank	PQ664201	SRR30235362
A/cattle/TX/24-021589-004-original/2024	2024-07-23	genbank	PQ664209	SRR30235361
A/cattle/TX/24-021589-005-original/2024	2024-07-23	genbank	PQ664217	SRR30235385
A/cattle/TX/24-021589-006-original/2024	2024-07-23	genbank	PQ664225	SRR30235384
A/cattle/TX/24-021589-007-original/2024	2024-07-23	genbank	PQ664233	SRR30235383
A/cattle/TX/24-021768-001-original/2024	2024-07-15	genbank	PQ664241	SRR30235387
A/cattle/TX/24-021768-002-original/2024	2024-07-25	genbank	PQ664249	SRR30235386
A/cattle/TX/24-026219-003-original-repeat2/2024	2024-05-22	genbank	PQ664257	SRR30932727
A/cattle/TX/24-026219-004-original/2024	2024-05-22	genbank	PQ664265	SRR30811296
A/cattle/TX/24-026219-005-original/2024	2024-05-22	genbank	PQ664273	SRR30811295
A/cattle/TX/24-026219-006-original/2024	2024-05-22	genbank	PQ664281	SRR30811293
A/cattle/TX/24-026219-007-original-repeat2/2024	2024-05-22	genbank	PQ664289	SRR30932716
A/cattle/TX/24-026219-009-original/2024	2024-05-22	genbank	PQ664297	SRR30811292
A/cattle/TX/24-026219-010-original/2024	2024-05-22	genbank	PQ664305	SRR30811291
A/cattle/TX/24-026219-013-original-repeat2/2024	2024-05-22	genbank	PQ664313	SRR31062754
A/cattle/TX/24-026360-001-original/2024	2024-05-21	genbank	PQ664321	SRR30811290
A/cattle/TX/24-026360-002-original/2024	2024-05-21	genbank	PQ664329	SRR30811289
A/cattle/TX/24-026360-003-original/2024	2024-05-21	genbank	PQ664337	SRR30811288
A/cattle/TX/24-026360-004-original/2024	2024-05-21	genbank	PQ664345	SRR30811287
A/cattle/TX/24-026360-005-original/2024	2024-05-21	genbank	PQ664353	SRR30811286
A/cattle/TX/24-026360-007-original/2024	2024-05-21	genbank	PQ664361	SRR30811285
A/cattle/TX/24-026360-008-original/2024	2024-05-21	genbank	PQ664369	SRR30811284
A/cattle/TX/24-026360-009-original/2024	2024-05-21	genbank	PQ664377	SRR30811282
A/cattle/TX/24-026360-010-original/2024	2024-05-21	genbank	PQ664385	SRR30811281
A/cattle/TX/24-026360-011-original/2024	2024-05-21	genbank	PQ664393	SRR30811280
A/cattle/TX/24-026360-013-original/2024	2024-05-21	genbank	PQ664401	SRR30811279
A/cattle/TX/24-026360-014-original/2024	2024-05-21	genbank	PQ664409	SRR30811278
A/cattle/TX/24-026360-017-original/2024	2024-05-21	genbank	PQ664417	SRR30811277
A/cattle/CA/24-027660-001-original/2024	2024-09-18	genbank	PQ667013	SRR30932743
A/cattle/CA/24-026560-001-original/2024	2024-09-09	genbank	PQ667158	SRR30811274
A/cattle/CA/24-026560-002-original/2024	2024-09-09	genbank	PQ667166	SRR30811273
A/cattle/CA/24-026560-003-original/2024	2024-09-09	genbank	PQ667174	SRR30811271
A/cattle/CA/24-026560-004-original/2024	2024-09-09	genbank	PQ667182	SRR30811270
A/cattle/CA/24-027472-001-original/2024	2024-09-16	genbank	PQ667190	SRR30932419
A/cattle/CA/24-027662-001-original/2024	2024-09-18	genbank	PQ667198	SRR30932741
A/cattle/CA/24-027665-001-original/2024	2024-09-18	genbank	PQ667206	SRR30932739
A/cattle/CA/24-027805-001-original/2024	2024-09-19	genbank	PQ667214	SRR30932737
A/cattle/CA/24-027805-002-original/2024	2024-09-19	genbank	PQ667222	SRR30932736
A/cattle/CA/24-027805-003-original/2024	2024-09-19	genbank	PQ667230	SRR30932735
A/cattle/CA/24-028506-001-original/2024	2024-09-19	genbank	PQ667238	SRR31016565
A/cattle/CA/24-028536-001-original/2024	2024-09-26	genbank	PQ667246	SRR31016554
A/cattle/CA/24-028536-002-original/2024	2024-09-26	genbank	PQ667254	SRR31016553
A/cattle/CA/24-028536-003-original/2024	2024-09-26	genbank	PQ667262	SRR31016552
A/cattle/MI/24-010786-002-original/2024	2024-04-09	genbank	PQ667270	SRR28912802
A/cattle/MI/24-010786-003-original/2024	2024-04-09	genbank	PQ667278	SRR28912801
A/cattle/MI/24-010930-002-original/2024	2024-04-10	genbank	PQ667286	SRR28912798
A/cattle/MI/24-012377-001-original/2024	2024-04-23	genbank	PQ667294	SRR28981000
A/cattle/MI/24-012377-002-original/2024	2024-04-23	genbank	PQ667302	SRR28980999
A/cattle/MI/24-012377-003-original/2024	2024-04-23	genbank	PQ667310	SRR28980998
A/cattle/MI/24-012377-004-original/2024	2024-04-23	genbank	PQ667318	SRR28980997
A/cattle/MI/24-012377-005-original/2024	2024-04-23	genbank	PQ667326	SRR28980996
A/cattle/MI/24-012377-006-original/2024	2024-04-23	genbank	PQ667334	SRR28980995
A/cattle/MI/24-012377-007-original/2024	2024-04-23	genbank	PQ667342	SRR28980993
A/cattle/MI/24-012377-008-original/2024	2024-04-23	genbank	PQ667350	SRR28980992
A/cattle/MI/24-012377-009-original/2024	2024-04-23	genbank	PQ667358	SRR28980991
A/cattle/MI/24-012377-010-original/2024	2024-04-23	genbank	PQ667366	SRR28980990
A/cattle/MI/24-013021-001-original/2024	2024-04-29	genbank	PQ667374	SRR29040271
A/cattle/MI/24-013021-002-original/2024	2024-04-29	genbank	PQ667382	SRR29040270
A/cattle/MI/24-013021-003-original/2024	2024-04-29	genbank	PQ667390	SRR29040269
A/cattle/MI/24-013021-004-original/2024	2024-04-29	genbank	PQ667398	SRR29040296
A/cattle/MI/24-013021-005-original/2024	2024-04-29	genbank	PQ667406	SRR29040295
A/cattle/MI/24-013021-006-original/2024	2024-04-29	genbank	PQ667414	SRR29040294
A/cattle/MI/24-013021-007-original/2024	2024-04-29	genbank	PQ667422	SRR29040293
A/cattle/MI/24-013021-008-original/2024	2024-04-29	genbank	PQ667430	SRR29040292
A/cattle/MI/24-013021-009-original/2024	2024-04-29	genbank	PQ667438	SRR29040291
A/cattle/MI/24-013021-010-original/2024	2024-04-29	genbank	PQ667446	SRR29040290
A/cattle/MI/24-013021-011-original/2024	2024-04-29	genbank	PQ667454	SRR29040289
A/cattle/MI/24-013787-001-original/2024	2024-05-02	genbank	PQ667462	
A/cattle/MI/24-013787-002-original/2024	2024-05-02	genbank	PQ667470	
A/cattle/MI/24-013789-001-original/2024	2024-05-07	genbank	PQ667478	
A/cattle/MI/24-013789-002-original/2024	2024-05-07	genbank	PQ667486	
A/cattle/MI/24-013789-003-original/2024	2024-05-07	genbank	PQ667494	
A/cattle/MI/24-013789-004-original/2024	2024-05-07	genbank	PQ667502	
A/cattle/MI/24-013789-005-original/2024	2024-05-07	genbank	PQ667510	
A/cattle/MI/24-013789-006-original/2024	2024-05-07	genbank	PQ667518	
A/cattle/MI/24-013789-007-original/2024	2024-05-07	genbank	PQ667526	
A/cattle/MI/24-013789-009-original/2024	2024-05-07	genbank	PQ667534	
A/cattle/MI/24-013789-010-original/2024	2024-05-07	genbank	PQ667542	
A/cattle/MI/24-013789-011-original/2024	2024-05-07	genbank	PQ667550	
A/cattle/MI/24-013789-012-original/2024	2024-05-07	genbank	PQ667558	
A/cattle/MI/24-014287-001-original/2024	2024-05-13	genbank	PQ667566	
A/cattle/MI/24-014881-002-original/2024	2024-05-16	genbank	PQ667574	SRR29281467
A/cattle/MI/24-014881-009-original/2024	2024-05-16	genbank	PQ667582	SRR29281466
A/cattle/MI/24-014881-013-original/2024	2024-05-16	genbank	PQ667590	SRR29281465
A/cattle/MI/24-015041-001-original/2024	2024-05-17	genbank	PQ667598	SRR29281444
A/cattle/MI/24-015041-002-original/2024	2024-05-17	genbank	PQ667606	SRR29281443
A/cattle/MI/24-015041-004-original/2024	2024-05-17	genbank	PQ667614	SRR29281442
A/cattle/MI/24-015041-005-original/2024	2024-05-17	genbank	PQ667622	SRR29281441
A/cattle/MI/24-015041-006-original/2024	2024-05-17	genbank	PQ667630	SRR29281440
A/cattle/MI/24-015041-007-original/2024	2024-05-17	genbank	PQ667638	SRR29281439
A/cattle/MI/24-015041-008-original/2024	2024-05-17	genbank	PQ667646	SRR29281437
A/cattle/MI/24-015306-001-original/2024	2024-05-21	genbank	PQ667654	SRR29377900
A/cattle/MI/24-015306-003-original/2024	2024-05-21	genbank	PQ667662	SRR29377899
A/cattle/CA/24-025747-001-original/2024	2024-09-03	genbank	PQ687103	SRR30811315
A/cattle/CA/24-025747-002-original/2024	2024-09-03	genbank	PQ687111	SRR30811314
A/cattle/CA/24-025747-003-original/2024	2024-09-03	genbank	PQ687119	SRR30811313
A/cattle/CA/24-025747-004-original/2024	2024-09-03	genbank	PQ687127	SRR30811312
A/cattle/CA/24-025747-005-original/2024	2024-09-03	genbank	PQ687135	SRR30811311
A/cattle/CA/24-025747-006-original/2024	2024-09-03	genbank	PQ687143	SRR30811310
A/cattle/CA/24-025747-007-original/2024	2024-09-03	genbank	PQ687151	SRR30811309
A/cattle/CA/24-025747-008-original/2024	2024-09-03	genbank	PQ687159	SRR30811308
A/cattle/CA/24-026562-001-original/2024	2024-09-09	genbank	PQ687167	SRR30811269
A/cattle/CA/24-026562-002-original/2024	2024-09-09	genbank	PQ687175	SRR30811268
A/cattle/CA/24-026563-001-original/2024	2024-09-10	genbank	PQ687183	SRR30811267
A/cattle/CA/24-026563-002-original/2024	2024-09-10	genbank	PQ687191	SRR30811266
A/cattle/CA/24-026564-001-original/2024	2024-09-10	genbank	PQ687199	SRR30811265
A/cattle/CA/24-027459-001-original/2024	2024-09-16	genbank	PQ687207	SRR30932420
A/cattle/CA/24-027459-002-original-repeat2/2024	2024-09-16	genbank	PQ687215	SRR31016589
A/cattle/CA/24-027478-001-original-repeat2/2024	2024-09-16	genbank	PQ687223	SRR31016555
A/cattle/CA/24-028538-001-original/2024	2024-09-26	genbank	PQ687231	SRR31016548
A/cattle/CA/24-028538-002-original/2024	2024-09-26	genbank	PQ687239	SRR31016547
A/cattle/CA/24-028538-003-original/2024	2024-09-26	genbank	PQ687247	SRR31016546
A/cattle/CA/24-029379-001-original/2024	2024-10-03	genbank	PQ687255	SRR31062748
A/cattle/CA/24-029379-002-original/2024	2024-10-03	genbank	PQ687263	SRR31062747
A/cattle/CA/24-029379-003-original/2024	2024-10-03	genbank	PQ687271	SRR31062746
A/cattle/CA/24-029891-001-original/2024	2024-10-08	genbank	PQ687279	SRR31062745
A/cattle/CA/24-030318-001-original/2024	2024-10-10	genbank	PQ687287	SRR31254375
A/cattle/CA/24-030318-002-original/2024	2024-10-10	genbank	PQ687295	SRR31254374
A/cattle/CA/24-030318-003-original/2024	2024-10-10	genbank	PQ687303	SRR31254373
A/cattle/UT/24-032188-001-original/2024	2024-10-28	genbank	PQ797377	SRR31347725
A/cattle/CA/24-027098-002-original-repeat2/2024	2024-09-11	genbank	PQ828373	SRR30932715
A/cattle/CA/24-027494-001-original/2024	2024-09-17	genbank	PQ828389	SRR30932418
A/cattle/CA/24-027653-001-original/2024	2024-09-18	genbank	PQ828397	SRR30932711
A/cattle/CA/24-027654-001-original/2024	2024-09-17	genbank	PQ828405	SRR30932748
A/cattle/CA/24-027656-001-original/2024	2024-09-18	genbank	PQ828413	SRR30932746
A/cattle/CA/24-027657-001-original/2024	2024-09-18	genbank	PQ828421	SRR30932745
A/cattle/CA/24-027664-001-original/2024	2024-09-18	genbank	PQ828445	SRR30932740
A/cattle/CA/24-028247-001-original/2024	2024-09-25	genbank	PQ828509	SRR30932726
A/cattle/CA/24-028247-002-original/2024	2024-09-25	genbank	PQ828517	SRR30932725
A/cattle/CA/24-028247-003-original/2024	2024-09-25	genbank	PQ828525	SRR30932724
A/cattle/CA/24-028247-004-original/2024	2024-09-25	genbank	PQ828533	SRR30932723
A/cattle/CA/24-028489-001-original/2024	2024-09-17	genbank	PQ828541	SRR31016585
A/cattle/CA/24-028489-002-original/2024	2024-09-17	genbank	PQ828549	SRR31016584
A/cattle/CA/24-028489-003-original/2024	2024-09-17	genbank	PQ828557	SRR31016583
A/cattle/CA/24-028489-004-original/2024	2024-09-17	genbank	PQ828565	SRR31016582
A/cattle/CA/24-028489-005-original/2024	2024-09-17	genbank	PQ828573	SRR31016581
A/cattle/CA/24-028489-006-original/2024	2024-09-17	genbank	PQ828581	SRR31016580
A/cattle/CA/24-028489-007-original/2024	2024-09-17	genbank	PQ828589	SRR31016579
A/cattle/CA/24-028489-008-original/2024	2024-09-17	genbank	PQ828597	SRR31016578
A/cattle/CA/24-028489-009-original/2024	2024-09-17	genbank	PQ828605	SRR31016576
A/cattle/CA/24-028489-010-original/2024	2024-09-17	genbank	PQ828613	SRR31016575
A/cattle/CA/24-028490-001-original/2024	2024-09-22	genbank	PQ828621	SRR31016574
A/cattle/CA/24-028490-003-original/2024	2024-09-22	genbank	PQ828629	SRR31016573
A/cattle/CA/24-028490-004-original/2024	2024-09-22	genbank	PQ828637	SRR31016572
A/cattle/CA/24-028491-001-original/2024	2024-09-24	genbank	PQ828645	SRR31016571
A/cattle/CA/24-028494-001-original/2024	2024-09-24	genbank	PQ828653	SRR31016570
A/cattle/CA/24-028495-001-original/2024	2024-09-23	genbank	PQ828661	SRR31016569
A/cattle/CA/24-028502-001-original/2024	2024-09-23	genbank	PQ828669	SRR31016568
A/cattle/CA/24-028504-001-original/2024	2024-09-23	genbank	PQ828677	SRR31016567
A/cattle/CA/24-028508-001-original/2024	2024-09-17	genbank	PQ828693	SRR31016564
A/cattle/CA/24-028510-002-original/2024	2024-09-27	genbank	PQ828701	SRR31016563
A/cattle/CA/24-028510-003-original/2024	2024-09-27	genbank	PQ828709	SRR31016562
A/cattle/CA/24-028512-001-original/2024	2024-09-26	genbank	PQ828717	SRR31016561
A/cattle/CA/24-028514-001-original/2024	2024-09-25	genbank	PQ828725	SRR31016560
A/cattle/CA/24-028516-001-original/2024	2024-09-25	genbank	PQ828733	SRR31016559
A/cattle/CA/24-028516-002-original/2024	2024-09-18	genbank	PQ828741	SRR31016558
A/cattle/CA/24-028516-003-original/2024	2024-09-25	genbank	PQ828749	SRR31016557
A/cattle/CA/24-028537-001-original/2024	2024-09-26	genbank	PQ828781	SRR31016551
A/cattle/CA/24-028537-003-original/2024	2024-09-26	genbank	PQ828789	SRR31016550
A/cattle/CA/24-028537-004-original/2024	2024-09-26	genbank	PQ828797	SRR31016549
A/cattle/CA/24-028757-004-original/2024	2024-09-29	genbank	PQ828805	SRR31016541
A/cattle/CA/24-028758-003-original/2024	2024-09-30	genbank	PQ828813	SRR31016540
A/cattle/CA/24-028759-001-original/2024	2024-10-01	genbank	PQ828821	SRR31016539
A/cattle/CA/24-028759-002-original/2024	2024-10-01	genbank	PQ828829	SRR31016538
A/cattle/CA/24-028759-003-original/2024	2024-10-01	genbank	PQ828837	SRR31016537
A/cattle/CA/24-028761-001-original/2024	2024-09-30	genbank	PQ828845	SRR31016536
A/cattle/CA/24-028761-002-original/2024	2024-09-30	genbank	PQ828853	SRR31016535
A/cattle/CA/24-028761-003-original/2024	2024-09-30	genbank	PQ828861	SRR31016534
A/cattle/CA/24-028762-001-original/2024	2024-10-01	genbank	PQ828869	SRR31016532
A/cattle/CA/24-028762-002-original/2024	2024-10-01	genbank	PQ828877	SRR31016531
A/cattle/CA/24-028762-003-original/2024	2024-10-01	genbank	PQ828885	SRR31016530
A/cattle/CA/24-028770-001-original/2024	2024-09-30	genbank	PQ828893	SRR31016529
A/cattle/CA/24-028772-001-original/2024	2024-09-30	genbank	PQ828909	SRR31016527
A/cattle/CA/24-028772-002-original/2024	2024-09-30	genbank	PQ828917	SRR31016526
A/cattle/CA/24-028772-003-original/2024	2024-09-30	genbank	PQ828925	SRR31016525
A/cattle/CA/24-028772-004-original/2024	2024-09-30	genbank	PQ828933	SRR31016524
A/cattle/CA/24-028975-001-original/2024	2024-10-01	genbank	PQ828941	SRR31168531
A/cattle/CA/24-028987-001-original/2024	2024-09-30	genbank	PQ828949	SRR31168527
A/cattle/CA/24-028987-002-original/2024	2024-09-30	genbank	PQ828957	SRR31168526
A/cattle/CA/24-028987-003-original/2024	2024-09-30	genbank	PQ828965	SRR31168525
A/cattle/CA/24-029166-001-original/2024	2024-10-02	genbank	PQ828981	SRR31062742
A/cattle/CA/24-029174-001-original/2024	2024-10-02	genbank	PQ828989	SRR31062728
A/cattle/CA/24-029179-002-original/2024	2024-10-02	genbank	PQ828997	SRR31062727
A/cattle/CA/24-029606-002-original/2024	2024-10-05	genbank	PQ829005	SRR31168547
A/cattle/CA/24-029613-001-original/2024	2024-10-08	genbank	PQ829013	SRR31168544
A/cattle/CA/24-029620-001-original/2024	2024-10-03	genbank	PQ829037	SRR31168536
A/cattle/CA/24-029620-002-original/2024	2024-10-03	genbank	PQ829045	SRR31168535
A/cattle/CA/24-029899-001-original/2024	2024-10-08	genbank	PQ829053	SRR31062737
A/cattle/CA/24-029904-001-original/2024	2024-09-29	genbank	PQ829061	SRR31062733
A/cattle/CA/24-030031-002-original/2024	2024-10-06	genbank	PQ829069	SRR31168533
A/cattle/CA/24-030697-002-original/2024	2024-10-15	genbank	PQ829077	SRR31254365
A/cattle/CA/24-030697-004-original/2024	2024-10-15	genbank	PQ829085	SRR31254364
A/cattle/CA/24-030737-001-original/2024	2024-10-17	genbank	PQ829093	SRR31254362
A/cattle/CA/24-030737-002-original/2024	2024-10-17	genbank	PQ829101	SRR31254361
